Team,CPI,W,L,OW,OL,OOW,OOL,Year
Louisiana-Monroe,1.2483042769675665,5,7,74,58,839,689,2019
Eastern Michigan,1.243881518911141,6,7,77,75,953,980,2019
Colorado,1.2318439904676834,5,7,78,63,951,758,2019
Syracuse,1.1408402041423775,5,7,77,66,978,820,2019
Illinois,1.1346306251127176,6,7,70,81,1030,888,2019
Florida Int'l,1.1286901582450721,6,7,72,79,971,952,2019
Nebraska,1.0658682155657966,5,7,73,67,924,781,2019
South Carolina,1.030271512207024,4,8,93,41,909,665,2019
Ball St,1.0171488134714146,5,7,70,62,782,782,2019
San Jose St,0.9428955972222045,5,7,64,66,818,703,2019
Troy,0.8974531557531893,5,7,68,71,902,838,2019
Coastal Carolina,0.8538565317007618,5,7,62,67,767,734,2019
Northern Illinois,0.8422927658966713,5,7,69,75,924,898,2019
Army,0.8249634679876547,5,8,69,61,806,760,2019
Tulsa,0.7833122461624185,4,8,89,54,914,760,2019
South Florida,0.7707761848254252,4,8,88,54,951,804,2019
Houston,0.7619300232936596,4,8,81,51,849,705,2019
UCLA,0.7011639112246592,4,8,84,59,936,770,2019
Mississippi,0.6888475707754315,4,8,82,61,1017,781,2019
Stanford,0.6131505179124225,4,8,76,64,964,752,2019
Fresno St,0.6108356914259722,4,8,80,62,927,857,2019
Arizona,0.6091993349337872,4,8,71,60,892,701,2019
Purdue,0.5615218177845123,4,8,74,66,916,772,2019
Texas Tech,0.5586391075901564,4,8,75,68,987,813,2019
Middle Tennessee St,0.5029848335302691,4,8,65,64,843,733,2019
North Carolina St,0.4959216140224365,4,8,63,66,864,675,2019
UNLV,0.4917626907505448,4,8,66,64,783,737,2019
Colorado St,0.4907083986353402,4,8,63,64,813,697,2019
East Carolina,0.4842128533719404,4,8,57,59,764,647,2019
Texas-San Antonio,0.4166946241771069,4,8,62,69,773,766,2019
North Texas,0.3901272064723816,4,8,59,69,763,776,2019
Georgia Tech,0.29879468094985295,3,9,77,56,902,679,2019
Maryland,0.2887343808460004,3,9,74,55,894,698,2019
Vanderbilt,0.28233369213605153,3,9,72,57,895,648,2019
Texas St-San Marcos,0.2697119328945159,3,9,82,61,936,847,2019
Kansas,0.24934579176864213,3,9,70,60,841,687,2019
Northwestern,0.22730100452889118,3,9,74,67,910,813,2019
Bowling Green,0.22560058106531844,3,9,71,61,795,798,2019
Rice,0.1923685968065482,3,9,70,72,840,818,2019
Arkansas,0.0877554964093425,2,10,75,55,885,669,2019
Rutgers,0.08415768930913607,2,10,83,60,920,785,2019
South Alabama,0.07828783870450537,2,10,75,57,803,730,2019
New Mexico,0.07750077461367307,2,10,82,61,895,863,2019
Connecticut,0.05952223805299669,2,10,64,65,795,727,2019
New Mexico St,0.04569521755163847,2,10,51,65,697,668,2019
Old Dominion,0.007916954698236507,1,11,68,64,798,750,2019
UTEP,0.004615188831105899,1,11,57,82,829,919,2019
Massachusetts,0.0038931412807964383,1,11,51,87,861,887,2019
Akron,0.0,0,12,61,82,892,930,2019
